Order number,Shein Order Number,BuffaloNumber,Order Total,Vat Total,% Vat
1,GSHNRV49000M2KV,0805YQ,1912,407.3,0.21302301255230127
2,GSHNAY491001BSE,00630YQ,2072,324.96,0.15683397683397682
3,GSHNBT49600VMK,88729YQ,2061,382.12,0.1854051431344008
4,GSHNBH496000NWQ,64414YQ,2152,340.08,0.15802973977695167
5,SHN9649800M6T2,56726YQ,2313,433.5,0.1874189364461738
6,GSHNK149100N0T,51926YQ,3201,490.33,0.15318025616994688
7,GSHNKQ49800MBB1,228703YQ,3102,379.6,0.12237266279819473
8,GSHNKG49700MBW6,35330475456,2715,360.56,0.13280294659300185
9,GSHNL249100MGM2,96331YQ,1780,221.32,0.12433707865168539
10,GSHNLJ49Q0018A6,18523YQ,2114,305.54,0.14453169347209083
11,,807022YQ,2177,313.77,0.1441295360587965
12,GSHNJT49001P0R,73214YQ,2214,233.1,0.10528455284552846
13,GSHNP749900NNA2,,2562,406.83,0.15879391100702575
14,GSH11B49N001FUF,,3507,637.75,0.18185058454519532
